filename,num_actual_colors,color1_r,color1_g,color1_b,ratio1,color2_r,color2_g,color2_b,ratio2,color3_r,color3_g,color3_b,ratio3,color4_r,color4_g,color4_b,ratio4,color5_r,color5_g,color5_b,ratio5
image_35.jpg,5,239,239,232,0.4593777777777778,247,56,62,0.25804444444444447,47.0,70.0,176.0,0.2295111111111111,123.0,85.0,116.0,0.012755555555555555,179.0,170.0,172.0,0.012666666666666666
image_36.jpg,5,227,232,246,0.5360444444444444,240,13,10,0.18288888888888888,132.0,194.0,201.0,0.14382222222222224,231.0,137.0,132.0,0.048044444444444445,214.0,88.0,83.0,0.0428
image_37.jpg,5,205,205,206,0.4182666666666667,49,50,50,0.22515555555555555,164.0,164.0,167.0,0.18346666666666667,81.0,171.0,88.0,0.06928888888888889,50.0,53.0,192.0,0.04511111111111111
image_38.jpg,5,251,246,233,0.5664444444444444,222,42,44,0.15506666666666666,29.0,162.0,107.0,0.11942222222222221,175.0,71.0,67.0,0.05711111111111111,144.0,202.0,170.0,0.04088888888888889
image_39.jpg,5,14,17,54,0.4296,124,192,183,0.37453333333333333,246.0,234.0,201.0,0.06413333333333333,234.0,24.0,82.0,0.05368888888888889,44.0,56.0,83.0,0.02288888888888889
image_4.jpg,4,0,39,74,0.4771111111111111,233,230,218,0.4278666666666667,144.0,143.0,126.0,0.05057777777777778,245.0,56.0,115.0,0.039599999999999996,,,,
image_40.jpg,5,3,3,2,0.2724888888888889,4,211,5,0.24924444444444444,246.0,60.0,147.0,0.17853333333333332,42.0,168.0,41.0,0.061288888888888886,181.0,72.0,115.0,0.04622222222222222
image_41.jpg,4,33,140,239,0.819911111111111,243,240,197,0.14222222222222222,181.0,224.0,235.0,0.025066666666666668,103.0,162.0,200.0,0.0128,,,,
image_42.jpg,5,253,252,236,0.41413333333333335,47,85,149,0.4017333333333334,42.0,41.0,39.0,0.0892,196.0,206.0,212.0,0.03493333333333333,166.0,171.0,170.0,0.018266666666666667
image_43.jpg,5,235,171,200,0.3763111111111111,252,252,253,0.28493333333333337,162.0,204.0,209.0,0.1992,249.0,249.0,21.0,0.047155555555555555,19.0,14.0,18.0,0.03617777777777778
image_44.jpg,5,146,207,250,0.5532444444444444,242,124,181,0.20266666666666666,78.0,165.0,227.0,0.0699111111111111,229.0,27.0,31.0,0.08377777777777778,59.0,126.0,183.0,0.048577777777777775
image_45.jpg,3,254,216,2,0.4348888888888889,0,0,0,0.40271111111111113,254.0,254.0,253.0,0.14404444444444445,,,,,,,,
image_46.jpg,5,59,182,231,0.3880888888888889,240,139,192,0.26786666666666664,235.0,220.0,197.0,0.20906666666666668,168.0,203.0,205.0,0.054533333333333336,239.0,217.0,39.0,0.04875555555555556
image_47.jpg,5,217,86,19,0.7331111111111112,235,220,180,0.11182222222222223,60.0,20.0,10.0,0.05004444444444445,115.0,51.0,26.0,0.03595555555555555,232.0,173.0,42.0,0.019333333333333334
image_48.jpg,5,96,144,173,0.6916444444444445,249,193,194,0.1708,57.0,61.0,64.0,0.05173333333333333,16.0,20.0,25.0,0.03266666666666666,75.0,89.0,100.0,0.05315555555555555
image_49.jpg,4,254,254,254,0.6101333333333334,146,178,83,0.24693333333333334,188.0,216.0,135.0,0.09226666666666666,224.0,83.0,21.0,0.03657777777777778,,,,
image_5.jpg,5,254,254,253,0.3557777777777778,1,141,215,0.26151111111111114,252.0,57.0,2.0,0.18946666666666667,4.0,3.0,3.0,0.08088888888888889,254.0,210.0,3.0,0.05848888888888889
image_50.jpg,5,249,230,204,0.5313333333333333,45,45,95,0.2616,243.0,28.0,72.0,0.09573333333333334,183.0,40.0,84.0,0.040933333333333335,185.0,167.0,166.0,0.026977777777777778
image_51.jpg,4,254,254,254,0.6567111111111111,15,32,126,0.2636888888888889,56.0,73.0,159.0,0.03515555555555556,187.0,11.0,90.0,0.022355555555555556,,,,
image_52.jpg,5,12,145,178,0.44506666666666667,251,251,246,0.15906666666666666,252.0,60.0,131.0,0.1476,7.0,6.0,9.0,0.06844444444444445,49.0,67.0,61.0,0.03875555555555556
image_53.jpg,5,90,34,112,0.5371111111111111,245,130,137,0.17759999999999998,230.0,211.0,231.0,0.23231111111111113,145.0,85.0,133.0,0.020933333333333335,214.0,87.0,103.0,0.018266666666666667
